dtt,Var2_1,Var2_2,Var2_3,Var2_4
04-Jan-2016 05:00:00,0.4102896,9.433963,95.62199,6.848305
04-Jan-2016 06:00:00,0.3778873,9.111617,50.83701,7.069967
04-Jan-2016 07:00:00,0.6802031,2.919708,17.59836,7.242308
04-Jan-2016 08:00:00,0.952534,4.020101,26.32427,7.263899
04-Jan-2016 09:00:00,1.211586,4.689332,25.17132,7.247002
04-Jan-2016 10:00:00,1.493364,5.856515,30.81749,7.11093
04-Jan-2016 11:00:00,1.729156,6.116208,30.74497,6.934974
04-Jan-2016 12:00:00,1.492266,6.21118,36.49805,6.739023
04-Jan-2016 13:00:00,1.480303,6.125574,37.23309,6.669848
04-Jan-2016 14:00:00,1.43086,6.289308,37.98531,6.602164
04-Jan-2016 15:00:00,1.367038,5.082592,39.05191,6.667308
04-Jan-2016 16:00:00,1.463987,5.167959,33.25598,6.794135
04-Jan-2016 17:00:00,1.57104,6.289308,38.4174,6.930408
04-Jan-2016 18:00:00,1.817491,5.979074,34.81025,6.99394
04-Jan-2016 19:00:00,1.621319,6.722689,39.25404,7.080076
04-Jan-2016 20:00:00,1.458856,6.504065,37.13614,7.142775
04-Jan-2016 21:00:00,1.425887,6.908463,38.88742,7.096051
04-Jan-2016 22:00:00,1.408047,6.269592,35.45516,6.966225
04-Jan-2016 23:00:00,1.458398,6.535948,38.1397,6.803767
05-Jan-2016 00:00:00,1.418134,7.042253,35.95222,6.666598
05-Jan-2016 01:00:00,1.381685,6.722689,43.52821,6.554062
05-Jan-2016 02:00:00,1.48966,6.779661,43.17218,6.519863
05-Jan-2016 03:00:00,1.773333,6.734007,39.90167,6.55212
05-Jan-2016 04:00:00,1.743969,6.644518,37.15339,6.648938
05-Jan-2016 05:00:00,1.676128,6.779661,49.76542,6.92173
05-Jan-2016 06:00:00,1.985257,6.802721,42.71608,7.130498
05-Jan-2016 07:00:00,1.849764,7.168459,45.11012,7.297895
05-Jan-2016 08:00:00,1.897926,7.181329,44.36301,7.44425
05-Jan-2016 09:00:00,2.109837,8.080809,44.81273,7.452238
05-Jan-2016 10:00:00,2.600096,7.155636,37.26287,7.37304
05-Jan-2016 11:00:00,2.15834,8.000001,48.4402,7.21924
05-Jan-2016 12:00:00,2.128019,7.766991,47.82539,7.037249
05-Jan-2016 13:00:00,2.062712,6.980803,46.99517,6.866939
05-Jan-2016 14:00:00,1.80349,8.928572,45.97908,6.710894
05-Jan-2016 15:00:00,1.910256,8.368201,58.88418,6.606484
05-Jan-2016 16:00:00,1.765822,7.677543,53.1334,6.673707
05-Jan-2016 17:00:00,1.552769,8.528785,52.34394,6.759448
05-Jan-2016 18:00:00,1.564941,6.802721,54.43834,6.898091
05-Jan-2016 19:00:00,1.708827,8.316009,57.75394,7.052242
05-Jan-2016 20:00:00,1.613632,7.633588,52.07386,7.162568
05-Jan-2016 21:00:00,1.991238,10.69519,59.93485,7.214157
05-Jan-2016 22:00:00,2.105725,10.12658,66.02178,7.116169
05-Jan-2016 23:00:00,2.15375,9.456264,61.3007,7.010556
06-Jan-2016 00:00:00,2.135096,7.707129,58.78582,6.851511
06-Jan-2016 01:00:00,2.754544,10.38961,65.65891,6.678789
06-Jan-2016 02:00:00,2.374324,10.15228,65.22865,6.531553
06-Jan-2016 03:00:00,2.249364,12.3839,61.59405,6.478212
06-Jan-2016 04:00:00,2.416798,11.97605,65.2146,6.551298
06-Jan-2016 05:00:00,2.388519,10.52631,65.40643,6.682087
06-Jan-2016 06:00:00,1.994554,10.44386,68.50937,6.921103
06-Jan-2016 07:00:00,2.191179,11.56069,66.13804,7.10681
06-Jan-2016 08:00:00,2.235753,10.58201,64.99537,7.33456
06-Jan-2016 09:00:00,2.061398,12.26994,66.44734,7.414501
06-Jan-2016 10:00:00,2.103556,12.04819,66.92596,7.425529
06-Jan-2016 11:00:00,2.158335,10.33592,66.66329,7.32376
06-Jan-2016 12:00:00,1.769237,8.281574,63.64773,7.136461
06-Jan-2016 13:00:00,1.815018,11.90476,68.71011,6.881958
06-Jan-2016 14:00:00,2.000518,11.17319,74.09599,6.684693
06-Jan-2016 15:00:00,1.834691,10.41667,72.59711,6.538182
06-Jan-2016 16:00:00,1.847594,10.17812,70.67654,6.509835
06-Jan-2016 17:00:00,1.693943,9.132421,75.61512,6.567587
06-Jan-2016 18:00:00,2.042611,13.42282,77.24922,6.651049
06-Jan-2016 19:00:00,1.798734,9.90099,76.09657,6.861666
06-Jan-2016 20:00:00,1.874111,14.08451,77.11815,7.041911
06-Jan-2016 21:00:00,1.843389,11.17319,76.69653,7.152915
06-Jan-2016 22:00:00,1.568912,12.53918,76.30247,7.152618
06-Jan-2016 23:00:00,1.933125,13.46801,72.94124,7.053864
