Date Time, Water Level, Sigma, I, L 
2017-06-01 00:00,-0.375,0.132,0,0
2017-06-01 01:00,-0.270,0.117,0,0
2017-06-01 02:00,-0.020,0.132,0,0
2017-06-01 03:00,0.215,0.131,0,0
2017-06-01 04:00,0.374,0.146,0,0
2017-06-01 05:00,0.511,0.177,0,0
2017-06-01 06:00,0.524,0.195,0,0
2017-06-01 07:00,0.410,0.195,0,0
2017-06-01 08:00,0.213,0.171,0,0
2017-06-01 09:00,-0.027,0.189,0,0
2017-06-01 10:00,-0.281,0.192,0,0
2017-06-01 11:00,-0.454,0.189,0,0
2017-06-01 12:00,-0.521,0.225,0,0
2017-06-01 13:00,-0.464,0.219,0,0
2017-06-01 14:00,-0.283,0.234,0,0
2017-06-01 15:00,-0.017,0.159,0,0
2017-06-01 16:00,0.223,0.193,0,0
2017-06-01 17:00,0.396,0.175,0,0
2017-06-01 18:00,0.464,0.144,0,0
2017-06-01 19:00,0.452,0.176,0,0
2017-06-01 20:00,0.351,0.212,0,0
2017-06-01 21:00,0.135,0.194,0,0
2017-06-01 22:00,-0.068,0.142,0,0
2017-06-01 23:00,-0.252,0.227,0,0
2017-06-02 00:00,-0.387,0.213,0,0
2017-06-02 01:00,-0.409,0.142,0,0
2017-06-02 02:00,-0.303,0.157,0,0
2017-06-02 03:00,-0.091,0.143,0,0
2017-06-02 04:00,0.126,0.119,0,0
2017-06-02 05:00,0.286,0.120,0,0
2017-06-02 06:00,0.413,0.141,0,0
2017-06-02 07:00,0.403,0.121,0,0
2017-06-02 08:00,0.330,0.109,0,0
2017-06-02 09:00,0.168,0.135,0,0
2017-06-02 10:00,-0.060,0.113,0,0
2017-06-02 11:00,-0.311,0.094,0,0
2017-06-02 12:00,-0.410,0.101,0,0
2017-06-02 13:00,-0.466,0.135,0,0
2017-06-02 14:00,-0.394,0.134,0,0
2017-06-02 15:00,-0.234,0.100,0,0
2017-06-02 16:00,-0.007,0.098,0,0
2017-06-02 17:00,0.256,0.102,0,0
2017-06-02 18:00,0.423,0.125,0,0
2017-06-02 19:00,0.480,0.139,0,0
2017-06-02 20:00,0.468,0.116,0,0
2017-06-02 21:00,0.368,0.105,0,0
2017-06-02 22:00,0.167,0.111,0,0
2017-06-02 23:00,0.002,0.081,0,0
2017-06-03 00:00,-0.239,0.106,0,0
2017-06-03 01:00,-0.372,0.150,0,0
2017-06-03 02:00,-0.392,0.120,0,0
2017-06-03 03:00,-0.316,0.089,0,0
2017-06-03 04:00,-0.129,0.102,0,0
2017-06-03 05:00,0.075,0.117,0,0
2017-06-03 06:00,0.249,0.106,0,0
2017-06-03 07:00,0.331,0.122,0,0
2017-06-03 08:00,0.317,0.124,0,0
2017-06-03 09:00,0.269,0.088,0,0
2017-06-03 10:00,0.092,0.099,0,0
2017-06-03 11:00,-0.146,0.091,0,0
2017-06-03 12:00,-0.324,0.141,0,0
2017-06-03 13:00,-0.427,0.114,0,0
2017-06-03 14:00,-0.412,0.123,0,0
2017-06-03 15:00,-0.387,0.105,0,0
2017-06-03 16:00,-0.233,0.118,0,0
2017-06-03 17:00,-0.011,0.077,0,0
2017-06-03 18:00,0.223,0.137,0,0
2017-06-03 19:00,0.400,0.125,0,0
2017-06-03 20:00,0.470,0.115,0,0
2017-06-03 21:00,0.448,0.108,0,0
2017-06-03 22:00,0.338,0.132,0,0
2017-06-03 23:00,0.164,0.108,0,0
2017-06-04 00:00,-0.103,0.084,0,0
2017-06-04 01:00,-0.269,0.100,0,0
2017-06-04 02:00,-0.378,0.098,0,0
2017-06-04 03:00,-0.398,0.115,0,0
2017-06-04 04:00,-0.290,0.097,0,0
2017-06-04 05:00,-0.131,0.107,0,0
2017-06-04 06:00,0.073,0.101,0,0
2017-06-04 07:00,0.266,0.110,0,0
2017-06-04 08:00,0.311,0.126,0,0
2017-06-04 09:00,0.301,0.125,0,0
2017-06-04 10:00,0.202,0.111,0,0
2017-06-04 11:00,0.039,0.112,0,0
2017-06-04 12:00,-0.158,0.122,0,0
2017-06-04 13:00,-0.341,0.120,0,0
2017-06-04 14:00,-0.454,0.112,0,0
2017-06-04 15:00,-0.471,0.107,0,0
2017-06-04 16:00,-0.409,0.104,0,0
