Date Time, Water Level, Sigma, I, L 
2017-01-01 00:00,-0.248,0.000,0,0
2017-01-01 01:00,-0.085,0.059,0,0
2017-01-01 02:00,-0.095,0.048,0,0
2017-01-01 03:00,-0.125,0.047,0,0
2017-01-01 04:00,-0.227,0.054,0,0
2017-01-01 05:00,-0.443,0.052,0,0
2017-01-01 06:00,-0.716,0.051,0,0
2017-01-01 07:00,-0.968,0.049,0,0
2017-01-01 08:00,-0.994,0.035,0,0
2017-01-01 09:00,-0.863,0.050,0,0
2017-01-01 10:00,-0.693,0.052,0,0
2017-01-01 11:00,-0.442,0.049,0,0
2017-01-01 12:00,-0.126,0.052,0,0
2017-01-01 13:00,0.130,0.056,0,0
2017-01-01 14:00,0.189,0.063,0,0
2017-01-01 15:00,0.141,0.049,0,0
2017-01-01 16:00,0.047,0.052,0,0
2017-01-01 17:00,-0.194,0.054,0,0
2017-01-01 18:00,-0.474,0.049,0,0
2017-01-01 19:00,-0.716,0.047,0,0
2017-01-01 20:00,-0.852,0.043,0,0
2017-01-01 21:00,-0.835,0.053,0,0
2017-01-01 22:00,-0.743,0.052,0,0
2017-01-01 23:00,-0.581,0.058,0,0
2017-01-02 00:00,-0.324,0.057,0,0
2017-01-02 01:00,-0.052,0.061,0,0
2017-01-02 02:00,0.115,0.060,0,0
2017-01-02 03:00,0.069,0.062,0,0
2017-01-02 04:00,0.016,0.071,0,0
2017-01-02 05:00,-0.132,0.062,0,0
2017-01-02 06:00,-0.350,0.070,0,0
2017-01-02 07:00,-0.565,0.062,0,0
2017-01-02 08:00,-0.663,0.077,0,0
2017-01-02 09:00,-0.608,0.066,0,0
2017-01-02 10:00,-0.530,0.084,0,0
2017-01-02 11:00,-0.325,0.077,0,0
2017-01-02 12:00,-0.105,0.079,0,0
2017-01-02 13:00,0.207,0.069,0,0
2017-01-02 14:00,0.419,0.079,0,0
2017-01-02 15:00,0.428,0.122,0,0
2017-01-02 16:00,0.286,0.133,0,0
2017-01-02 17:00,0.112,0.157,0,0
2017-01-02 18:00,-0.107,0.186,0,0
2017-01-02 19:00,-0.404,0.134,0,0
2017-01-02 20:00,-0.576,0.143,0,0
2017-01-02 21:00,-0.639,0.146,0,0
2017-01-02 22:00,-0.532,0.166,0,0
2017-01-02 23:00,-0.446,0.151,0,0
2017-01-03 00:00,-0.248,0.161,0,0
2017-01-03 01:00,0.023,0.151,0,0
2017-01-03 02:00,0.276,0.145,0,0
2017-01-03 03:00,0.402,0.148,0,0
2017-01-03 04:00,0.406,0.198,0,0
2017-01-03 05:00,0.301,0.153,0,0
2017-01-03 06:00,0.186,0.205,0,0
2017-01-03 07:00,-0.050,0.220,0,0
2017-01-03 08:00,-0.216,0.199,0,0
2017-01-03 09:00,-0.344,0.155,0,0
2017-01-03 10:00,-0.293,0.188,0,0
2017-01-03 11:00,-0.163,0.192,0,0
2017-01-03 12:00,0.006,0.211,0,0
2017-01-03 13:00,0.247,0.239,0,0
2017-01-03 14:00,0.560,0.218,0,0
2017-01-03 15:00,0.711,0.181,0,0
2017-01-03 16:00,0.692,0.135,0,0
2017-01-03 17:00,0.561,0.196,0,0
2017-01-03 18:00,0.329,0.158,0,0
2017-01-03 19:00,0.126,0.202,0,0
2017-01-03 20:00,-0.165,0.161,0,0
2017-01-03 21:00,-0.294,0.147,0,0
2017-01-03 22:00,-0.386,0.193,0,0
2017-01-03 23:00,-0.310,0.171,0,0
2017-01-04 00:00,-0.185,0.183,0,0
2017-01-04 01:00,0.048,0.196,0,0
2017-01-04 02:00,0.297,0.175,0,0
2017-01-04 03:00,0.481,0.202,0,0
2017-01-04 04:00,0.599,0.226,0,0
2017-01-04 05:00,0.560,0.208,0,0
2017-01-04 06:00,0.397,0.155,0,0
2017-01-04 07:00,0.223,0.194,0,0
2017-01-04 08:00,0.027,0.155,0,0
2017-01-04 09:00,-0.184,0.167,0,0
2017-01-04 10:00,-0.273,0.126,0,0
2017-01-04 11:00,-0.232,0.124,0,0
2017-01-04 12:00,-0.149,0.122,0,0
2017-01-04 13:00,0.059,0.148,0,0
2017-01-04 14:00,0.276,0.147,0,0
2017-01-04 15:00,0.494,0.135,0,0
2017-01-04 16:00,0.608,0.127,0,0
2017-01-04 17:00,0.547,0.119,0,0
2017-01-04 18:00,0.412,0.115,0,0
2017-01-04 19:00,0.216,0.154,0,0
2017-01-04 20:00,-0.025,0.140,0,0
2017-01-04 21:00,-0.256,0.101,0,0
2017-01-04 22:00,-0.450,0.115,0,0
2017-01-04 23:00,-0.498,0.100,0,0
2017-01-05 00:00,-0.442,0.115,0,0
2017-01-05 01:00,-0.297,0.111,0,0
2017-01-05 02:00,-0.121,0.104,0,0
2017-01-05 03:00,0.135,0.113,0,0
2017-01-05 04:00,0.339,0.091,0,0
2017-01-05 05:00,0.365,0.076,0,0
2017-01-05 06:00,0.301,0.075,0,0
2017-01-05 07:00,0.225,0.093,0,0
2017-01-05 08:00,0.031,0.086,0,0
2017-01-05 09:00,-0.205,0.084,0,0
2017-01-05 10:00,-0.367,0.099,0,0
2017-01-05 11:00,-0.486,0.098,0,0
2017-01-05 12:00,-0.499,0.118,0,0
2017-01-05 13:00,-0.390,0.103,0,0
2017-01-05 14:00,-0.165,0.103,0,0
2017-01-05 15:00,0.044,0.136,0,0
2017-01-05 16:00,0.283,0.119,0,0
2017-01-05 17:00,0.291,0.114,0,0
2017-01-05 18:00,0.252,0.122,0,0
2017-01-05 19:00,0.114,0.122,0,0
2017-01-05 20:00,-0.024,0.127,0,0
2017-01-05 21:00,-0.288,0.123,0,0
2017-01-05 22:00,-0.584,0.112,0,0
2017-01-05 23:00,-0.711,0.108,0,0
2017-01-06 00:00,-0.751,0.108,0,0
2017-01-06 01:00,-0.649,0.123,0,0
2017-01-06 02:00,-0.483,0.107,0,0
2017-01-06 03:00,-0.174,0.133,0,0
2017-01-06 04:00,0.070,0.120,0,0
2017-01-06 05:00,0.232,0.114,0,0
2017-01-06 06:00,0.261,0.108,0,0
2017-01-06 07:00,0.267,0.105,0,0
2017-01-06 08:00,0.199,0.098,0,0
2017-01-06 09:00,-0.011,0.126,0,0
2017-01-06 10:00,-0.317,0.143,0,0
2017-01-06 11:00,-0.500,0.140,0,0
2017-01-06 12:00,-0.449,0.155,0,0
2017-01-06 13:00,-0.450,0.159,0,0
2017-01-06 14:00,-0.401,0.192,0,0
2017-01-06 15:00,-0.120,0.212,0,0
2017-01-06 16:00,0.128,0.248,0,0
2017-01-06 17:00,0.269,0.223,0,0
2017-01-06 18:00,0.310,0.215,0,0
2017-01-06 19:00,0.360,0.253,0,0
2017-01-06 20:00,0.275,0.224,0,0
2017-01-06 21:00,0.087,0.201,0,0
2017-01-06 22:00,-0.172,0.232,0,0
2017-01-06 23:00,-0.405,0.217,0,0
2017-01-07 00:00,-0.480,0.185,0,0
2017-01-07 01:00,-0.558,0.236,0,0
2017-01-07 02:00,-0.445,0.251,0,0
2017-01-07 03:00,-0.268,0.256,0,0
2017-01-07 04:00,0.011,0.235,0,0
2017-01-07 05:00,0.321,0.218,0,0
2017-01-07 06:00,0.460,0.259,0,0
2017-01-07 07:00,0.629,0.315,0,0
2017-01-07 08:00,0.643,0.277,0,0
2017-01-07 09:00,0.545,0.378,0,0
2017-01-07 10:00,0.342,0.410,0,0
2017-01-07 11:00,0.135,0.403,0,0
2017-01-07 12:00,0.046,0.396,0,0
2017-01-07 13:00,-0.107,0.530,0,0
2017-01-07 14:00,-0.116,0.469,0,0
2017-01-07 15:00,-0.008,0.530,0,0
2017-01-07 16:00,0.238,0.505,0,0
2017-01-07 17:00,0.361,0.465,0,0
2017-01-07 18:00,0.523,0.424,0,0
2017-01-07 19:00,0.662,0.521,0,0
2017-01-07 20:00,0.710,0.441,0,0
2017-01-07 21:00,0.580,0.495,0,0
2017-01-07 22:00,0.348,0.444,0,0
2017-01-07 23:00,0.124,0.465,0,0
2017-01-08 00:00,-0.080,0.554,0,0
2017-01-08 01:00,-0.259,0.472,0,0
2017-01-08 02:00,-0.337,0.447,0,0
2017-01-08 03:00,-0.319,0.431,0,0
2017-01-08 04:00,-0.128,0.422,0,0
2017-01-08 05:00,0.192,0.360,0,0
2017-01-08 06:00,0.452,0.433,0,0
2017-01-08 07:00,0.622,0.442,0,0
2017-01-08 08:00,0.727,0.412,0,0
2017-01-08 09:00,0.682,0.414,0,0
2017-01-08 10:00,0.522,0.361,0,0
2017-01-08 11:00,0.325,0.353,0,0
2017-01-08 12:00,0.044,0.355,0,0
2017-01-08 13:00,-0.219,0.331,0,0
2017-01-08 14:00,-0.393,0.348,0,0
2017-01-08 15:00,-0.403,0.306,0,0
2017-01-08 16:00,-0.318,0.398,0,0
2017-01-08 17:00,-0.129,0.323,0,0
2017-01-08 18:00,0.045,0.312,0,0
2017-01-08 19:00,0.235,0.392,0,0
2017-01-08 20:00,0.385,0.333,0,0
2017-01-08 21:00,0.406,0.324,0,0
2017-01-08 22:00,0.235,0.307,0,0
2017-01-08 23:00,0.057,0.245,0,0
2017-01-09 00:00,-0.189,0.330,0,0
2017-01-09 01:00,-0.463,0.307,0,0
2017-01-09 02:00,-0.670,0.271,0,0
2017-01-09 03:00,-0.665,0.293,0,0
2017-01-09 04:00,-0.516,0.318,0,0
2017-01-09 05:00,-0.308,0.221,0,0
2017-01-09 06:00,-0.003,0.298,0,0
2017-01-09 07:00,0.306,0.274,0,0
2017-01-09 08:00,0.588,0.276,0,0
2017-01-09 09:00,0.669,0.309,0,0
2017-01-09 10:00,0.588,0.259,0,0
2017-01-09 11:00,0.435,0.257,0,0
2017-01-09 12:00,0.153,0.245,0,0
2017-01-09 13:00,-0.155,0.208,0,0
2017-01-09 14:00,-0.504,0.205,0,0
2017-01-09 15:00,-0.651,0.212,0,0
2017-01-09 16:00,-0.699,0.158,0,0
2017-01-09 17:00,-0.597,0.196,0,0
2017-01-09 18:00,-0.445,0.244,0,0
2017-01-09 19:00,-0.202,0.207,0,0
2017-01-09 20:00,0.103,0.171,0,0
2017-01-09 21:00,0.282,0.216,0,0
2017-01-09 22:00,0.222,0.158,0,0
2017-01-09 23:00,0.090,0.176,0,0
2017-01-10 00:00,-0.101,0.163,0,0
2017-01-10 01:00,-0.405,0.131,0,0
2017-01-10 02:00,-0.697,0.160,0,0
2017-01-10 03:00,-0.872,0.143,0,0
2017-01-10 04:00,-0.850,0.147,0,0
2017-01-10 05:00,-0.785,0.142,0,0
2017-01-10 06:00,-0.526,0.171,0,0
2017-01-10 07:00,-0.184,0.149,0,0
2017-01-10 08:00,0.179,0.136,0,0
2017-01-10 09:00,0.434,0.164,0,0
2017-01-10 10:00,0.481,0.130,0,0
2017-01-10 11:00,0.425,0.140,0,0
2017-01-10 12:00,0.240,0.141,0,0
2017-01-10 13:00,-0.067,0.148,0,0
2017-01-10 14:00,-0.396,0.130,0,0
2017-01-10 15:00,-0.615,0.110,0,0
2017-01-10 16:00,-0.810,0.118,0,0
2017-01-10 17:00,-0.827,0.124,0,0
2017-01-10 18:00,-0.686,0.132,0,0
2017-01-10 19:00,-0.430,0.131,0,0
2017-01-10 20:00,-0.165,0.125,0,0
2017-01-10 21:00,0.115,0.133,0,0
2017-01-10 22:00,0.277,0.125,0,0
2017-01-10 23:00,0.266,0.098,0,0
2017-01-11 00:00,0.148,0.116,0,0
2017-01-11 01:00,-0.097,0.122,0,0
2017-01-11 02:00,-0.412,0.087,0,0
2017-01-11 03:00,-0.744,0.108,0,0
2017-01-11 04:00,-0.922,0.087,0,0
2017-01-11 05:00,-0.908,0.099,0,0
2017-01-11 06:00,-0.769,0.106,0,0
2017-01-11 07:00,-0.492,0.101,0,0
2017-01-11 08:00,-0.184,0.130,0,0
2017-01-11 09:00,0.181,0.119,0,0
2017-01-11 10:00,0.488,0.123,0,0
2017-01-11 11:00,0.488,0.117,0,0
2017-01-11 12:00,0.401,0.159,0,0
2017-01-11 13:00,0.147,0.115,0,0
2017-01-11 14:00,-0.085,0.122,0,0
2017-01-11 15:00,-0.418,0.130,0,0
2017-01-11 16:00,-0.747,0.154,0,0
2017-01-11 17:00,-0.985,0.095,0,0
2017-01-11 18:00,-1.006,0.102,0,0
2017-01-11 19:00,-0.851,0.104,0,0
2017-01-11 20:00,-0.614,0.130,0,0
2017-01-11 21:00,-0.252,0.104,0,0
2017-01-11 22:00,0.031,0.099,0,0
2017-01-11 23:00,0.139,0.097,0,0
2017-01-12 00:00,0.123,0.089,0,0
2017-01-12 01:00,-0.017,0.087,0,0
2017-01-12 02:00,-0.248,0.083,0,0
2017-01-12 03:00,-0.553,0.087,0,0
2017-01-12 04:00,-0.877,0.089,0,0
2017-01-12 05:00,-1.046,0.092,0,0
2017-01-12 06:00,-1.038,0.087,0,0
2017-01-12 07:00,-0.846,0.075,0,0
2017-01-12 08:00,-0.570,0.110,0,0
2017-01-12 09:00,-0.156,0.109,0,0
2017-01-12 10:00,0.178,0.095,0,0
2017-01-12 11:00,0.412,0.120,0,0
2017-01-12 12:00,0.468,0.125,0,0
2017-01-12 13:00,0.363,0.134,0,0
2017-01-12 14:00,0.181,0.131,0,0
2017-01-12 15:00,-0.147,0.116,0,0
2017-01-12 16:00,-0.564,0.111,0,0
2017-01-12 17:00,-0.890,0.142,0,0
2017-01-12 18:00,-1.076,0.142,0,0
2017-01-12 19:00,-1.065,0.122,0,0
2017-01-12 20:00,-0.876,0.146,0,0
2017-01-12 21:00,-0.592,0.161,0,0
2017-01-12 22:00,-0.282,0.129,0,0
2017-01-12 23:00,0.002,0.176,0,0
