,wave.height.time,wave.height,wave.depth
112,2017/1/6 3:00,0.525827467,8.737037659
113,2017/1/6 4:00,0.511393785,8.944972038
114,2017/1/6 5:00,0.522138774,9.079755783
115,2017/1/6 6:00,0.497979432,9.056097031
116,2017/1/6 7:00,0.526741624,9.030591965
117,2017/1/6 8:00,0.660287857,8.908072472
118,2017/1/6 9:00,0.791659534,8.627893448
119,2017/1/6 10:00,0.791894972,8.375040054
120,2017/1/6 11:00,0.768906474,8.264539719
121,2017/1/6 12:00,0.861329496,8.327245712
122,2017/1/6 13:00,0.883528173,8.329549789
123,2017/1/6 14:00,1.01249516,8.501559258
124,2017/1/6 15:00,1.108510017,8.768012047
125,2017/1/6 16:00,1.24681437,8.950634956
126,2017/1/6 17:00,1.212067366,9.08240509
127,2017/1/6 18:00,1.183334589,9.089254379
128,2017/1/6 19:00,1.144290686,9.09220314
129,2017/1/6 20:00,1.197533846,8.938111305
130,2017/1/6 21:00,1.183492184,8.724412918
131,2017/1/6 22:00,1.22126472,8.473674774
132,2017/1/6 23:00,1.185071707,8.295403481
133,2017/1/7 0:00,1.227876782,8.237844467
134,2017/1/7 1:00,1.209371209,8.242292404
135,2017/1/7 2:00,1.184028745,8.390827179
136,2017/1/7 3:00,1.202794671,8.622391701
137,2017/1/7 4:00,1.267408013,8.9485569
138,2017/1/7 5:00,1.40894413,9.157934189
139,2017/1/7 6:00,1.535040498,9.284919739
140,2017/1/7 7:00,1.681060314,9.364118576
141,2017/1/7 8:00,1.961588502,9.372621536
142,2017/1/7 9:00,2.245294809,9.191825867
143,2017/1/7 10:00,2.386098385,8.973443985
144,2017/1/7 11:00,2.655028105,8.821350098
145,2017/1/7 12:00,2.783010483,8.668281555
146,2017/1/7 13:00,2.809631109,8.613355637
147,2017/1/7 14:00,3.007698774,8.619468689
148,2017/1/7 15:00,2.879839182,8.752607346
149,2017/1/7 16:00,3.121935606,9.012605667
150,2017/1/7 17:00,3.128451109,9.202236176
151,2017/1/7 18:00,3.083509445,9.342605591
152,2017/1/7 19:00,3.230974436,9.445320129
153,2017/1/7 20:00,3.049337387,9.390096664
154,2017/1/7 21:00,3.037287712,9.199319839
155,2017/1/7 22:00,3.006157398,8.962731361
156,2017/1/7 23:00,3.016368866,8.722229004
157,2017/1/8 0:00,2.741889715,8.54335022
158,2017/1/8 1:00,2.699463606,8.401950836
159,2017/1/8 2:00,2.551174641,8.366880417
160,2017/1/8 3:00,2.384335041,8.49324894
161,2017/1/8 4:00,2.438717604,8.736712456
162,2017/1/8 5:00,2.260512352,9.033147812
163,2017/1/8 6:00,2.295138836,9.257343292
164,2017/1/8 7:00,2.210631132,9.426387787
165,2017/1/8 8:00,2.164785385,9.451359749
166,2017/1/8 9:00,2.006444931,9.335037231
167,2017/1/8 10:00,1.934445262,9.171733856
168,2017/1/8 11:00,1.885360479,8.917510986
169,2017/1/8 12:00,1.821925998,8.624549866
170,2017/1/8 13:00,1.709094644,8.401399612
171,2017/1/8 14:00,1.712713361,8.323894501
172,2017/1/8 15:00,1.688658953,8.347467422
173,2017/1/8 16:00,1.724747539,8.471768379
174,2017/1/8 17:00,1.609549999,8.670022011
175,2017/1/8 18:00,1.77812171,8.875957489
176,2017/1/8 19:00,1.670992136,9.0533638
177,2017/1/8 20:00,1.70703125,9.152723312
178,2017/1/8 21:00,1.680972457,9.075193405
179,2017/1/8 22:00,1.563979149,8.91586113
180,2017/1/8 23:00,1.524308085,8.680007935
181,2017/1/9 0:00,1.464445949,8.391340256
182,2017/1/9 1:00,1.403215766,8.158436775
183,2017/1/9 2:00,1.297552824,8.056035995
