"","x"
"312",49.88645172
"313",52.74571228
"314",54.89011383
"315",54.67905045
"316",56.97156906
"317",57.5774765
"318",59.26131821
"319",59.85968781
"320",60.7710495
"321",61.88257217
"322",62.11676025
"323",63.74561691
"324",64.41623688
"325",64.34757233
"326",64.7843399
"327",66.37698364
"328",66.53104401
"329",65.98179626
"330",64.75830841
"331",61.89385605
"332",64.59500885
"333",63.84658813
"334",63.23822021
"335",63.96618271
"336",63.76039124
"337",60.98406982
"338",59.15348053
"339",57.77106476
"340",48.5070343
"341",46.58184052
"342",45.17750931
"343",44.00750732
"344",45.80871582
"345",46.15972137
"346",47.87856293
"347",50.59972
"348",53.00447845
"349",55.5654068
"350",56.60974121
"351",58.08607864
"352",56.05120468
"353",58.30464554
"354",60.73621368
"355",58.78653717
"356",58.10844803
"357",57.83996964
"358",57.05496597
"359",56.41243744
"360",58.72850037
"361",58.05086517
"362",60.99072647
"363",60.91663361
"364",62.48471451
"365",63.52558136
"366",65.64884949
"367",65.41049194
"368",68.01512146
"369",68.18006897
"370",65.71232605
"371",67.86550903
"372",68.30872345
"373",70.57798004
"374",70.08746338
"375",70.47799683
"376",72.63009644
"377",72.45345306
"378",73.99758148
"379",76.73116302
"380",75.2750473
"381",78.65409851
"382",78.49962616
"383",79.52557373
"384",80.78934479
"385",81.23888397
"386",83.35003662
"387",81.15003204
"388",83.53379059
"389",85.2490921
"390",83.66870117
"391",85.14893341
"392",86.6370697
"393",86.03590393
"394",84.53769684
"395",86.23496246
"396",88.22917938
"397",89.22117615
"398",91.21115875
"399",93.91176605
"400",92.14255524
"401",93.67680359
"402",96.60738373
"403",99.5381012
"404",102.7819595
"405",101.7218399
"406",101.5506058
"407",101.0926895
"408",104.9219894
"409",102.6290207
"410",106.5944595
"411",107.8778381
"412",106.5489273
"413",104.5075531
"414",104.7735977
"415",94.81609344
"416",11.9738493
"417",15.34217453
"418",20.90568924
"419",26.05609894
"420",31.22402954
"421",45.41910934
"422",56.98762512
"423",60.24708939
"424",68.73114014
"425",64.55438232
"426",61.41219711
"427",63.02915573
"428",61.05715179
"429",60.9185257
"430",60.1702652
"431",57.65329742
"432",56.44931412
"433",55.95859528
"434",55.59796524
"435",55.56174469
"436",54.52633667
"437",55.3991127
"438",55.92797852
"439",55.26350784
"440",52.78707504
"441",52.79057693
"442",54.08364868
"443",56.29973984
"444",56.71154785
"445",56.07079315
"446",58.33758163
"447",60.1097908
"448",60.02109909
"449",59.89881897
"450",60.63131714
"451",61.57362366
"452",64.03562164
"453",66.78159332
"454",66.46155548
"455",70.93484497
"456",70.5296402
"457",70.4084549
"458",71.45226288
"459",72.43598938
"460",72.66930389
"461",71.19037628
"462",72.2875824
"463",74.22388458
"464",73.85889435
"465",72.09687805
"466",73.84755707
"467",76.50637817
"468",75.66299438
"469",73.78549194
"470",76.38884735
"471",76.13726044
"472",77.0858078
"473",78.02432251
"474",75.46874237
"475",76.83391571
"476",79.18517303
"477",77.76982117
"478",78.95317078
"479",77.04884338
"480",76.39950562
"481",79.5038147
"482",78.82009888
"483",79.02779388
"484",76.12332916
"485",75.62937927
"486",74.30899048
"487",75.41814423
"488",74.64658356
"489",76.09382629
"490",73.85617828
"491",76.08148193
"492",77.3733902
"493",75.95611572
"494",78.29756927
"495",78.06381989
"496",78.51095581
"497",77.16776276
"498",77.68687439
"499",75.2321167
"500",79.80341339
"501",80.892555235
"502",81.98169708
"503",90.39832306
"504",96.26979828
"505",95.00418854
"506",94.15248108
"507",93.39326477
"508",93.26330566
"509",89.65338898
"510",90.10555267
"511",89.00847626
"512",87.55120087
"513",86.87699127
"514",81.45922089
"515",75.54502106
"516",70.47263336
"517",62.61523438
"518",57.38161469
"519",56.49377823
"520",61.69815063
"521",64.42686462
"522",67.974845885
"523",71.52282715
"524",68.09079742
"525",69.51845551
"526",65.64611053
"527",63.84417725
"528",65.32868195
"529",64.66579437
"530",65.24128723
"531",69.43597412
"532",72.5400238
"533",70.5923233
"534",72.265625
"535",71.92411804
"536",72.50827789
"537",70.88249207
"538",70.41764832
"539",69.745224
"540",69.30069733
"541",69.94552612
"542",70.11961365
"543",68.66807556
"544",68.48744965
"545",69.16191101
"546",66.0368042
"547",63.58082581
"548",60.80296707
"549",59.88340378
"550",55.46718216
"551",57.1634903
"552",53.60193253
"553",54.86684036
"554",56.97121811
"555",52.63001633
"556",55.2636261
"557",55.37221146
"558",54.40441513
"559",53.51039124
"560",50.1923027
"561",53.36603928
"562",52.15672684
"563",48.91111374
"564",55.23710632
"565",53.93041229
"566",53.92327118
"567",57.37204361
"568",61.46091843
"569",60.4549942
"570",61.28959656
"571",60.87038803
"572",58.5849762
"573",56.89326096
"574",55.45148849
"575",57.9352684
"576",59.46128464
"577",59.24938965
"578",55.52006149
"579",62.54029083
"580",63.97850418
"581",66.07783508
"582",67.18695831
"583",65.97692871
"584",68.70644379
"585",68.90139008
"586",69.44519043
"587",66.26295471
"588",67.41777802
"589",69.49295044
"590",70.40992737
"591",72.53956604
"592",76.37545013
"593",78.14772034
"594",77.24237823
"595",83.55152893
"596",85.63539886
"597",87.10116577
"598",87.74481201
"599",90.115448
"600",95.92876434
"601",96.41860199
"602",107.0210419
"603",103.5036316
"604",104.539444
"605",103.2580261
"606",101.4909363
"607",103.0806046
"608",101.7237167
"609",103.7703323
"610",102.731369
"611",104.1391296
"612",103.1221313
"613",77.59783173
"614",50.21925735
"615",21.95876884
"616",22.40735817
"617",25.25623322
"618",25.04436493
"619",21.92329597
"620",28.38226318
"621",32.15457916
"622",39.16556931
"623",43.07503128
"624",47.4554863
"625",57.01704788
"626",68.94493866
"627",74.11444855
"628",77.9079895
"629",78.75199127
"630",79.91429901
"631",80.52124023
"632",83.73067474
"633",85.05365753
"634",88.42236328
"635",87.84147644
"636",87.2605896
"637",82.81988144
"638",78.37917328
"639",74.70779419
"640",71.91124725
"641",51.74863052
"642",41.35980988
"643",39.036088945
"644",36.71236801
"645",48.04014778
"646",48.04014778
"647",59.36792755
"648",64.57460785
"649",75.55497742
"650",74.471199035
"651",73.38742065
"652",73.13903809
"653",73.442310335
"654",73.74558258
"655",75.49594116
"656",80.581169125
"657",80.581169125
"658",80.581169125
"659",85.66639709
"660",87.688682555
"661",87.688682555
"662",89.71096802
"663",95.31699371
"664",98.712421405
"665",102.1078491
"666",98.01599121
"667",102.1533813
"668",101.1403275
"669",102.2434998
"670",102.6686478
"671",98.46290588
"672",101.8386917
"673",103.20580675
"674",103.20580675
"675",103.20580675
"676",104.5729218
"677",103.4536285
"678",101.054512
"679",98.17202759
"680",95.2237854
"681",97.39102936
"682",100.3365173
"683",102.4006805
"684",107.4482651
"685",105.9567566
"686",106.0775299
"687",108.1667862
"688",110.6671448
"689",109.9311066
"690",108.5776596
"691",106.3088531
"692",105.4700012
"693",101.724472
"694",105.0354919
"695",105.2062988
"696",93.16236877
"697",68.28791809
"698",26.97507477
"699",10.56446171
"700",11.15445328
"701",12.13399601
"702",14.00096607
"703",15.18802166
"704",15.2852459
"705",15.17513847
"706",16.09259415
"707",16.11338425
"708",19.12482071
"709",21.03660011
"710",25.48871994
