0,0.84797,4.3337,68.944,6.5875
1,0.9388,10.178,70.346,6.7047
2,0.93127,10.753,67.341,6.803
3,1.0354,10.076,65.279,7.0758
4,0.93274,10.959,66.7,7.2104
5,0.92748,10.23,64.664,7.2246
6,0.9349,10.929,64.635,7.1645
7,0.86016,10.929,67.215,7.0481
8,0.84953,11.019,65.042,6.8946
9,0.77678,10.959,72.772,6.7091
10,0.75336,10.84,71.221,6.5507
11,0.79664,9.5923,67.565,6.4777
12,0.92633,10.05,68.352,6.5363
13,1.0505,10.929,56.336,6.6809
14,1.0859,10.101,57.935,6.8196
15,1.1372,5.2288,58.832,7.0043
16,1.0515,5.5788,63.44,7.1294
17,1.0807,5.5479,59.918,7.1715
18,0.94818,5.5633,56.704,7.083
19,0.95936,5.2219,62.122,6.9651
20,0.91078,5.5788,63.953,6.8414
21,0.80446,5.8997,72.32,6.6151
22,0.88576,5.698,60.814,6.4503
23,0.84766,6.2893,64.58,6.3455
24,0.80974,5.891,62.419,6.3701
25,0.71957,5.0314,67.794,6.4238
26,0.69998,5.5866,64.389,6.5127
27,0.68607,5.5633,67.768,6.7474
28,0.74349,5.3333,65.187,6.9532
29,0.7105,9.5465,64.968,7.0611
30,0.69299,4.6948,53.183,7.0733
31,0.70781,9.6852,58.095,7.0729
32,0.66265,7.7071,61.418,6.9898
33,0.65894,9.0703,63.732,6.8493
34,0.7347,5.2632,59.694,6.6783
35,0.78921,5.0188,50.129,6.5787
36,0.82317,4.6729,59.184,6.5379
37,0.86508,5.3191,54.178,6.5688
38,0.85872,5.457,57.268,6.645
39,0.85957,5.5172,60.045,6.7736
40,0.94306,5.6259,57.038,6.9205
41,0.72403,6.2208,52.771,6.9921
42,0.78028,7.5901,52.468,7.0052
43,0.6944,5.5402,63.888,6.9551
44,0.70716,5.0697,48.972,6.8465
45,0.56573,5.8394,62.041,6.7062
46,0.55806,5.9172,53.963,6.5214
47,0.55838,5.3691,54.818,6.3517
48,0.50317,8.4746,63.974,6.2733
49,0.47459,5.284,67.237,6.2772
50,0.44343,9.2166,69.319,6.342
51,0.44875,8.2988,83.2,6.4947
52,0.41008,9.0703,79.995,6.6907
53,0.36931,8.7527,89.325,6.8951
54,0.36255,13.699,83.706,7.0057
55,0.37494,8.7912,75.754,6.9893
56,0.35011,7.767,87.748,6.9353
57,0.33891,9.1533,84.263,6.8338
58,0.34228,14.76,98.565,6.6483
