0,0.94141,6.2539,2.1091
1,0.93406,6.3911,2.2279
2,0.98801,6.3135,2.3438
3,1.0248,6.4626,2.5753
4,0.94813,6.5942,2.7053
5,0.98926,6.6248,2.7038
6,0.91285,6.6587,2.6381
7,0.89248,6.8812,2.5108
8,0.87523,6.9718,2.3699
9,0.8262,6.6563,2.178
10,0.84555,6.6221,2.0399
11,0.8362,6.2619,2.0025
12,0.88535,5.9777,2.0775
13,0.9456,5.8115,2.2003
14,1.0568,5.7254,2.3356
15,1.0903,5.9131,2.4969
16,1.0991,6.0462,2.6206
17,1.0923,6.2218,2.6454
18,1.0212,6.436,2.5474
19,0.98625,6.6419,2.438
20,0.93669,6.7998,2.2993
21,0.92497,6.6037,2.0946
22,0.84793,6.8271,1.9241
23,0.84663,6.7314,1.854
24,0.84076,6.7519,1.8812
25,0.80047,7.0233,1.9361
26,0.79118,7.1325,2.0474
27,0.81091,7.0009,2.28
28,0.75175,7.0488,2.4716
29,0.71782,7.0348,2.5589
30,0.68826,7.0822,2.5703
31,0.69016,6.8938,2.5563
32,0.6913,7.3828,2.4687
33,0.68813,6.9493,2.3173
34,0.73456,6.8282,2.1666
35,0.72728,6.0027,2.0732
36,0.7491,5.969,2.0464
37,0.77662,6.1061,2.0748
38,0.83099,6.0813,2.1628
39,0.80916,6.188,2.2952
40,0.82971,6.4082,2.431
41,0.80885,6.2727,2.4875
42,0.76743,6.6358,2.4991
43,0.72295,6.7395,2.4468
44,0.67824,6.5734,2.3388
45,0.63576,6.7507,2.1971
46,0.6066,6.9587,2.0095
47,0.56683,7.1684,1.8581
48,0.53207,7.32,1.7992
49,0.51416,7.5408,1.8085
50,0.4568,8.0579,1.8877
51,0.43449,8.0812,2.0401
52,0.41238,8.5409,2.2346
53,0.37945,8.5084,2.4123
54,0.38705,8.9198,2.5007
55,0.36332,9.171,2.4876
56,0.35663,9.5699,2.4378
57,0.34013,9.2267,2.3206
58,0.3718,9.2865,2.1426
59,0.33895,9.2236,1.9982
60,0.36586,8.9014,1.8981
61,0.363,8.6249,1.8601
62,0.37156,8.7226,1.9084
63,0.37813,8.7266,2.0018
64,0.41672,8.5387,2.1217
65,0.37674,8.5853,2.2393
66,0.38737,8.853,2.3274
67,0.37602,8.9674,2.3997
68,0.41382,8.8788,2.3381
69,0.39462,9.0402,2.226
70,0.42982,8.4109,2.0682
71,0.39518,9.0567,1.956
72,0.39357,8.7274,1.818
73,0.41205,8.3953,1.7655
74,0.41201,8.2444,1.8028
75,0.40188,8.6457,1.957
76,0.36642,8.9255,2.1959
77,0.37493,8.4751,2.3752
78,0.38458,8.4262,2.6148
79,0.56835,5.6706,2.7252
80,0.83511,5.1026,2.751
81,0.96069,5.1103,2.7109
82,0.95553,5.3878,2.5678
83,0.89801,5.5373,2.3984
84,0.85355,5.4456,2.2332
85,0.82021,5.5236,2.1907
86,0.8027,5.5678,2.1312
87,0.81439,5.5294,2.2068
88,0.8909,5.3858,2.3252
89,0.93444,5.4761,2.4509
90,0.96086,5.6395,2.5152
91,1.0125,5.5947,2.5978
92,1.0573,5.8568,2.614
93,1.033,5.7828,2.574
94,0.98377,5.7426,2.4445
95,0.90936,5.5961,2.296
96,0.84362,5.5218,2.1804
97,0.77968,5.3924,2.0884
98,0.72985,5.3258,2.0909
99,0.77355,5.4083,2.1441
100,0.82374,5.4661,2.2342
101,0.93787,5.4245,2.482
102,1.1027,5.4862,2.6914
103,1.1346,5.6239,2.8351
104,1.1949,5.5785,2.9474
105,1.1977,5.776,2.9605
106,1.1617,5.7494,2.8847
107,1.0309,6.0681,2.7367
108,0.95165,6.1006,2.56
109,0.83638,6.2013,2.4155
110,0.79555,6.1716,2.2873
111,0.7479,6.4793,2.1918
112,0.78949,6.2367,2.2559
113,0.80619,6.1195,2.3327
114,0.90998,6.2512,2.4635
115,0.95839,6.347,2.5999
116,1.0354,6.6112,2.7073
