dtt,Var2_1,Var2_2,Var2_3
01-Jan-2016 00:00:00,1.03365767002106,5.67553758621216,2.38837790489197
01-Jan-2016 01:00:00,1.02032577991486,6.01124906539917,2.51485681533813
01-Jan-2016 02:00:00,1.08842360973358,6.03546190261841,2.63089680671692
01-Jan-2016 03:00:00,1.08643102645874,6.33001947402954,2.85650753974915
01-Jan-2016 04:00:00,1.02357685565948,6.11412477493286,2.97850036621094
01-Jan-2016 05:00:00,1.05358839035034,6.44019031524658,2.97893476486206
01-Jan-2016 06:00:00,0.986361801624298,6.38585805892944,2.90364527702332
01-Jan-2016 07:00:00,0.942145943641663,6.75627660751343,2.7727484703064
01-Jan-2016 08:00:00,0.928826987743378,6.87914323806763,2.62644147872925
01-Jan-2016 09:00:00,0.874768733978271,6.41432237625122,2.42837476730347
01-Jan-2016 10:00:00,0.887760281562805,6.39146518707275,2.29426598548889
01-Jan-2016 11:00:00,0.904416561126709,6.11023902893066,2.2593560218811
01-Jan-2016 12:00:00,0.976176500320435,5.53992748260498,2.34904718399048
01-Jan-2016 13:00:00,1.1245721578598,5.29777336120605,2.52444005012512
01-Jan-2016 14:00:00,1.19496846199036,5.47361326217651,2.79304671287537
01-Jan-2016 15:00:00,1.12837100028992,5.77909564971924,2.94252395629883
01-Jan-2016 16:00:00,1.18960046768188,5.78360080718994,3.10203528404236
01-Jan-2016 17:00:00,1.1124347448349,6.06224536895752,3.12986946105957
01-Jan-2016 18:00:00,1.06983709335327,6.24430322647095,3.06005430221558
01-Jan-2016 19:00:00,1.01135098934174,6.46578454971313,2.95793128013611
01-Jan-2016 20:00:00,0.966417729854584,6.51149702072144,2.79927444458008
01-Jan-2016 21:00:00,0.970928847789764,6.44244623184204,2.58350253105164
01-Jan-2016 22:00:00,0.909940183162689,6.47874784469604,2.4532425403595
01-Jan-2016 23:00:00,0.891771078109741,6.32993793487549,2.33361840248108
02-Jan-2016 00:00:00,0.905746281147003,6.44210624694824,2.28886795043945
02-Jan-2016 01:00:00,0.862149953842163,6.6698842048645,2.304927110672
02-Jan-2016 02:00:00,0.839825034141541,6.9228367805481,2.39238238334656
02-Jan-2016 03:00:00,0.83966726064682,6.8555850982666,2.61498165130615
02-Jan-2016 04:00:00,0.807049930095673,7.18036365509033,2.79234552383423
02-Jan-2016 05:00:00,0.780013561248779,7.07941436767578,2.8749361038208
02-Jan-2016 06:00:00,0.730135381221771,7.16046476364136,2.88665676116943
02-Jan-2016 07:00:00,0.741480708122253,6.87640047073364,2.86353850364685
02-Jan-2016 08:00:00,0.720201134681702,7.24442005157471,2.76695895195007
02-Jan-2016 09:00:00,0.747647702693939,7.41098785400391,2.62212538719177
02-Jan-2016 10:00:00,0.792808473110199,6.79776811599731,2.46506643295288
02-Jan-2016 11:00:00,0.806904971599579,5.92956924438477,2.38173031806946
02-Jan-2016 12:00:00,0.905619919300079,5.33746433258057,2.37200570106506
02-Jan-2016 13:00:00,0.92204487323761,5.60752534866333,2.41691088676453
02-Jan-2016 14:00:00,0.972558736801147,5.65171957015991,2.51354289054871
02-Jan-2016 15:00:00,0.934781432151794,5.72240829467773,2.65633678436279
02-Jan-2016 16:00:00,0.925511419773102,6.25215482711792,2.79930830001831
02-Jan-2016 17:00:00,0.915449023246765,6.09313535690308,2.86270046234131
02-Jan-2016 18:00:00,0.852821588516235,6.38211345672607,2.87177157402039
02-Jan-2016 19:00:00,0.786990463733673,6.61533117294312,2.83252263069153
02-Jan-2016 20:00:00,0.742717862129211,6.76377010345459,2.71630334854126
02-Jan-2016 21:00:00,0.705565452575684,6.84172582626343,2.56365156173706
02-Jan-2016 22:00:00,0.65455287694931,6.93286752700806,2.3614068031311
02-Jan-2016 23:00:00,0.611075878143311,6.94593238830566,2.21473431587219
03-Jan-2016 00:00:00,0.575411438941956,7.58072328567505,2.16294693946838
03-Jan-2016 01:00:00,0.536736071109772,7.58190679550171,2.16373205184937
03-Jan-2016 02:00:00,0.497143894433975,8.29013156890869,2.24518823623657
03-Jan-2016 03:00:00,0.463415056467056,8.20697975158691,2.40729522705078
03-Jan-2016 04:00:00,0.43702757358551,8.62984561920166,2.60503053665161
03-Jan-2016 05:00:00,0.40524098277092,8.64651012420654,2.78515791893005
03-Jan-2016 06:00:00,0.397519052028656,8.8574047088623,2.88392162322998
03-Jan-2016 07:00:00,0.389372080564499,9.61843490600586,2.86736726760864
03-Jan-2016 08:00:00,0.366501867771149,9.5069694519043,2.81548762321472
03-Jan-2016 09:00:00,0.367992252111435,9.98743343353271,2.70217800140381
03-Jan-2016 10:00:00,0.390450745820999,9.50074768066406,2.52250671386719
03-Jan-2016 11:00:00,0.359520971775055,9.4198522567749,2.37940764427185
03-Jan-2016 12:00:00,0.383038878440857,9.40467166900635,2.26864266395569
03-Jan-2016 13:00:00,0.381883352994919,9.11253929138184,2.22962093353271
03-Jan-2016 14:00:00,0.397429704666138,9.32463836669922,2.27814316749573
03-Jan-2016 15:00:00,0.402149319648743,8.80102348327637,2.36499881744385
03-Jan-2016 16:00:00,0.42514556646347,8.69877910614014,2.48601889610291
03-Jan-2016 17:00:00,0.378051578998566,9.01751232147217,2.59937906265259
03-Jan-2016 18:00:00,0.392730861902237,8.9688024520874,2.68877625465393
03-Jan-2016 19:00:00,0.37635549902916,9.18512725830078,2.75841021537781
03-Jan-2016 20:00:00,0.416085541248322,9.19466686248779,2.70395851135254
03-Jan-2016 21:00:00,0.408558189868927,9.38993167877197,2.58706545829773
03-Jan-2016 22:00:00,0.438904464244843,8.57258415222168,2.417644739151
