0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690
0.14165,0.14872,0.13994,NaN,0.11329,0.13839,0.13685,0.14026,0.14132,0.14058,0.14446,0.14686,0.15854,0.15057,0.15138,0.15624,NaN,NaN,NaN,NaN,0.14816,0.14804,0.16023,0.20723
NaN,0.11626,0.13673,0.13386,0.13418,0.145,0.13606,0.13802,0.14511,0.23528,0.14265,0.1325,0.22075,0.14718,0.14985,0.15108,NaN,0.13723,NaN,0.19296,NaN,NaN,0.20215,NaN
0.13876,0.11401,0.13591,0.13279,0.11094,0.1338,0.13681,0.13765,0.13852,NaN,0.14103,0.14125,0.1328,NaN,NaN,NaN,NaN,NaN,0.14598,0.14587,NaN,NaN,NaN,NaN
0.13001,0.12938,0.12811,0.10542,0.12666,0.12605,0.12631,0.10713,0.12655,0.11228,0.11063,0.13507,0.1131,0.12074,0.14027,0.14057,0.14542,0.14455,0.14081,0.14404,0.13846,0.13452,0.13216,0.12882
0.13262,0.19392,0.12846,0.10664,0.1265,0.12536,0.12872,0.12901,0.12769,0.11012,0.10852,0.1362,0.11255,0.12275,0.14144,0.1408,0.14149,0.14415,0.13986,0.14057,0.14055,0.18807,0.13373,0.13375
0.13091,0.12809,0.1259,0.10428,0.12478,0.1265,0.12612,0.12848,0.1258,0.10894,0.11006,0.13491,0.13586,0.1379,0.13876,0.14076,0.14063,0.14026,0.14084,0.13985,0.13797,0.13525,0.13388,0.13311
0.13134,0.10811,0.1262,0.10431,0.12416,0.10549,NaN,0.12854,0.1279,0.15697,0.10903,0.13621,0.13626,0.13771,0.1221,0.14023,0.13997,0.14177,0.13936,0.14022,0.13956,0.13549,0.13714,0.13243
0.13077,0.10674,0.12586,0.10257,0.12333,0.10607,0.12537,0.10682,0.12666,0.10713,0.10914,0.1344,0.18122,0.11291,0.13831,0.13859,0.14025,0.13239,0.13702,0.1373,0.13795,0.13342,0.13297,0.10146
0.12901,0.10599,0.12527,0.10225,0.12259,0.10398,0.12398,NaN,0.12564,0.10687,0.10725,0.13356,0.16339,0.11247,0.1374,0.13708,0.13744,0.13855,0.13621,0.13458,0.2588,0.13263,0.11226,0.13002
0.12743,0.14789,NaN,0.10153,0.12099,0.10166,0.20494,0.21424,0.16676,0.14331,0.10505,0.12929,0.27639,0.15801,0.13447,0.13493,0.17203,0.18479,0.12351,0.22163,0.17784,0.21819,0.16898,0.098315
0.12614,0.10467,0.12502,0.10215,0.12078,0.10086,0.1832,0.19254,0.12483,0.10444,0.1046,0.18721,0.13026,0.1103,0.1121,0.13496,0.13548,0.2008,0.13779,0.13103,0.1298,0.16256,0.12668,0.10043
0.12238,0.10149,0.12024,0.090456,0.14139,0.098465,0.12,0.11836,0.17175,NaN,0.19797,0.2396,0.10524,0.10776,0.25998,0.10991,0.13636,0.12994,0.13109,0.12628,0.19359,0.12733,0.12341,0.095873
0.16687,0.10184,0.10071,0.099646,0.14131,0.098808,0.12003,0.2563,0.12197,NaN,0.10086,0.12541,0.127,NaN,0.15161,0.12973,0.19628,0.13052,0.13087,0.12911,0.18346,0.10607,NaN,0.11066
0.15946,0.098764,0.17666,0.097929,0.097155,0.097139,0.11788,0.11735,0.11945,0.20467,0.099263,0.12281,0.1584,0.1038,0.1265,0.12752,0.17809,0.16649,NaN,0.16731,0.12569,0.12312,0.20727,NaN
0.11863,0.098255,0.099225,0.098029,0.096557,0.097337,0.11692,0.14211,0.15359,0.11898,0.098614,0.20076,0.10338,0.103,0.16436,0.10571,0.13064,0.12488,0.12413,0.12983,0.12367,0.12264,0.10358,NaN
0.11689,0.096914,0.10136,0.097204,0.09544,0.096375,0.11989,0.18762,0.11671,0.12923,0.097099,0.15828,0.14749,0.10299,0.12295,0.10628,0.12673,0.12512,0.12283,0.11983,0.12535,0.12376,0.1008,NaN
0.11538,0.096202,0.093794,0.094319,0.09376,0.16469,0.093784,0.093856,0.11398,0.11359,0.095283,0.18483,0.17921,0.10167,0.1541,0.10402,0.13702,0.12383,0.1222,0.17576,0.1239,0.11923,0.11573,0.12039
0.15952,0.097504,0.094916,0.093964,0.16711,0.09613,0.11344,0.11425,0.11589,0.11574,0.096749,0.15669,0.10218,0.1022,0.19151,0.14295,0.1728,0.17278,0.12604,0.16675,0.12286,0.10074,0.12191,0.11471
0.1161,0.095772,0.093754,0.091059,0.091085,0.095716,0.19739,0.11275,0.11358,0.15011,0.098047,0.11765,0.11699,0.1004,0.12156,NaN,0.10227,0.12345,0.13387,0.11924,NaN,0.097666,0.088831,NaN
0.1151,0.095477,NaN,0.09027,0.091025,0.092759,0.1098,0.092668,NaN,0.11287,0.11696,0.15806,NaN,0.098656,0.11881,0.13818,0.10978,0.12358,0.12159,0.16125,0.11819,0.097308,NaN,NaN
0.1149,0.095433,0.093355,NaN,0.098237,0.11225,0.11083,0.092111,0.11458,0.16162,0.097143,0.14837,0.17955,0.098827,0.11916,0.11845,0.13325,0.16181,0.12025,0.11885,0.11842,0.11433,NaN,0.12468
0.11412,0.094484,0.092178,NaN,0.091197,0.11122,0.09126,0.12519,0.1135,0.11283,0.096187,0.1162,NaN,0.099664,0.11877,0.11984,0.096199,0.11852,0.12018,0.10061,0.11869,0.10278,0.11703,NaN
0.11334,0.092973,0.091518,0.095366,0.09124,0.090428,0.090141,0.090757,0.14467,0.11367,0.094423,0.11491,0.11764,0.098047,0.1814,0.098977,0.11613,0.11724,0.11835,0.16783,0.11689,NaN,0.17829,0.10228
0.1128,0.091583,0.092407,NaN,0.090374,0.10884,0.12698,0.090475,0.11157,0.11158,0.091948,0.1142,0.12179,0.096647,0.11779,0.11791,0.142,0.11643,0.11636,NaN,0.11834,NaN,0.11112,NaN
0.11271,0.091484,0.094583,0.10552,0.090726,0.10789,0.10845,0.13507,0.14298,0.11214,0.092218,0.11551,0.11922,0.12295,0.15926,0.098654,0.12961,0.11659,0.11644,NaN,0.11649,0.095264,0.11165,0.14578
0.11325,0.092011,0.09306,NaN,0.091201,0.091954,0.090903,0.090822,0.1126,0.11154,0.10021,0.11656,0.11537,NaN,0.11842,NaN,0.12042,0.11777,0.16774,0.093939,0.11478,0.096276,0.11257,0.096027
0.10996,0.090431,0.089345,0.11924,0.088341,0.13483,0.087446,0.089716,0.10981,0.10813,0.12619,0.11125,0.12359,0.12301,0.11619,0.096552,0.097751,0.21174,NaN,0.14701,0.11549,NaN,0.11078,0.09644
0.20927,0.08942,0.089992,0.10566,0.088989,0.089829,0.087648,NaN,0.091087,0.090457,0.089076,0.18456,NaN,0.093714,0.17247,0.096968,0.11172,0.21288,0.11306,NaN,0.11373,NaN,0.11001,0.1155
NaN,0.088754,0.089034,0.10568,0.088195,0.10682,0.085304,0.087678,0.10706,0.087902,0.088903,0.089374,0.11109,0.093354,0.093232,0.095267,0.21962,0.19416,0.14437,0.095204,0.10932,NaN,0.10978,NaN
0.10773,0.089188,0.088838,0.10498,0.087771,0.21961,0.086821,0.090069,0.10934,0.089297,0.090643,0.14534,0.10849,0.11591,0.14517,0.1317,0.094294,0.12912,NaN,0.10963,0.11214,NaN,0.09024,0.089722
0.10942,NaN,0.09,0.16684,0.088636,0.088606,0.13809,0.089578,0.11978,0.090959,0.093611,0.16112,NaN,0.09056,0.11564,0.13161,0.095591,0.09456,NaN,0.094251,NaN,0.095463,NaN,0.10802
0.10758,0.089805,0.087705,0.089281,0.15173,0.10399,0.087923,0.21697,0.089467,0.088676,0.091831,0.09099,0.091624,0.11003,0.17182,0.15169,NaN,NaN,0.21148,0.091717,NaN,0.085481,0.11007,NaN
0.10505,0.087392,0.085225,0.086922,0.085304,0.10153,0.086563,NaN,0.087853,0.085263,0.088997,0.088902,0.1879,0.25204,0.11125,0.09131,0.08917,0.11393,NaN,0.08342,NaN,0.086837,0.084147,NaN
0.10813,0.089737,0.086082,0.13222,0.17506,0.086818,0.087657,0.086938,0.17385,0.090016,0.091061,0.079774,0.20216,0.11126,0.093411,0.20212,0.094516,0.11022,NaN,0.091731,0.088886,NaN,0.10985,NaN
0.14053,0.087713,0.085917,0.087078,0.087147,0.086431,0.089685,0.087023,0.089977,0.17863,0.10419,0.17409,NaN,0.18844,0.091786,0.12857,0.090124,NaN,NaN,0.10995,NaN,0.13359,0.11099,0.085555
0.19088,0.08746,0.086631,0.08941,0.089948,0.086347,0.08807,0.085994,0.18282,0.089226,0.08706,0.15708,NaN,0.1113,0.093188,0.093529,NaN,NaN,NaN,0.095772,NaN,0.088038,NaN,NaN
0.085757,0.085402,0.085624,0.083636,0.085009,0.0848,0.085668,0.1234,0.14736,0.086727,0.084419,0.10606,0.087426,0.14281,0.10434,0.13985,NaN,NaN,NaN,0.089138,0.086376,NaN,NaN,0.087192
0.08653,0.085662,0.085054,0.083436,0.16451,0.086152,0.08673,0.083789,0.088901,0.087078,0.087679,0.089757,NaN,0.10534,0.10641,0.090283,0.090588,NaN,NaN,0.091192,NaN,NaN,NaN,NaN
0.085621,0.085435,0.08452,0.083797,0.085307,0.08471,0.085888,0.083377,NaN,0.087004,0.085275,0.089297,NaN,0.10418,NaN,0.088069,0.11472,NaN,NaN,0.13835,0.086047,NaN,0.13575,NaN
0.085945,0.085006,0.089099,0.1368,0.12522,0.086561,0.085014,0.085945,0.087564,0.087973,0.085535,0.088332,NaN,0.14896,0.11995,0.09373,0.089786,NaN,NaN,0.090075,NaN,NaN,NaN,NaN
0.084149,0.08585,0.085758,0.12832,0.083697,0.083696,0.085059,0.085191,0.086207,0.16779,0.085285,NaN,0.0874,0.14474,0.10722,0.088795,0.089211,NaN,NaN,NaN,NaN,NaN,0.08378,NaN
0.13045,0.084831,0.084163,0.13219,0.1059,0.080475,0.082546,0.083264,0.15148,0.084419,0.086223,NaN,0.11715,0.19684,0.089299,0.088989,0.12793,NaN,NaN,0.086184,NaN,NaN,NaN,NaN
0.08328,0.16061,0.08263,NaN,0.081618,0.24203,0.082608,0.082778,0.08402,0.082277,0.15447,NaN,NaN,0.17486,0.086713,0.11024,0.087054,NaN,NaN,NaN,NaN,NaN,0.15336,0.14614
0.084757,0.084821,0.083282,0.085977,0.083081,0.083366,NaN,0.082572,0.084853,0.084713,0.082994,0.16086,0.075957,NaN,0.087803,0.13555,0.084199,NaN,NaN,NaN,NaN,NaN,0.084416,NaN
0.084839,0.084032,0.15582,0.084787,0.080261,0.083687,0.1562,0.15459,NaN,0.084356,0.082825,0.08855,NaN,NaN,0.087139,0.15814,0.19566,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083467,0.084103,0.081009,0.082237,0.078863,0.079667,0.081822,0.080238,0.08237,0.082965,0.080938,0.089957,0.079138,NaN,0.082703,0.093043,0.080323,NaN,NaN,NaN,0.1203,0.0996,0.08157,NaN
