0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690
NaN,0.15556,0.085556,0.15056,0.11556,0.12056,NaN,NaN,NaN,0.11056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.095556,NaN,0.085556,0.13556
0.14056,0.13556,0.14056,0.19056,0.16556,0.12056,0.12556,0.15556,0.10556,0.12556,0.12556,0.12556,0.085556,0.11056,0.12056,0.13056,0.10556,NaN,0.085556,0.085556,0.085556,0.10556,0.13556,0.14056
0.14056,0.13556,0.14056,0.17556,0.17556,0.14056,0.14556,0.15556,0.15556,0.14056,0.12556,0.14056,0.12056,0.11556,0.12056,0.12556,0.10556,0.085556,0.085556,0.11056,0.11556,0.14056,0.13556,0.15556
0.14056,0.13556,0.14056,0.17556,0.14556,0.14056,0.14556,0.15556,0.14056,0.14056,0.14056,0.14056,0.12056,0.11556,0.12056,0.11056,0.10556,0.085556,0.085556,0.11056,0.11556,0.14056,0.13556,0.16556
0.14056,0.13556,0.14056,0.17556,0.14556,0.14056,0.14556,0.15556,0.14056,0.14056,0.14056,0.14056,0.10556,0.13556,0.12056,0.11056,0.11056,0.085556,0.10556,0.12056,0.13556,0.13556,0.10556,0.14056
0.14056,0.10556,0.14056,0.14056,0.14556,0.12556,0.14556,0.14056,0.14056,0.14056,0.14056,0.14056,0.10556,0.12556,0.12056,0.10556,0.11056,0.10556,0.10556,0.12056,0.10556,0.13556,0.10556,0.13556
0.14056,0.10556,0.14056,0.14056,0.14556,0.12556,0.14556,0.14056,0.14056,0.14056,0.14056,0.14056,0.10556,0.14056,0.12056,0.10556,0.10556,0.10556,0.10556,0.12056,0.10556,0.13556,0.12556,0.14056
0.14056,0.10556,0.14056,0.14056,0.12556,0.12556,0.14556,0.14056,0.14056,0.14056,0.14056,0.14056,0.10556,0.14056,0.12056,0.12056,0.10556,0.10556,0.10556,0.15556,0.10556,0.13556,0.12556,0.14056
0.14056,0.10556,0.14056,0.14056,0.12556,0.12556,0.12556,0.14056,0.14056,0.14056,0.14056,0.14056,0.10556,0.14056,0.12056,0.11056,0.10556,0.10556,0.10556,0.14056,0.10556,0.13556,0.12556,0.14056
0.14056,0.10556,0.14056,0.14056,0.12556,0.12556,0.12556,0.14056,0.14556,0.14056,0.14056,0.14056,0.12556,0.14056,0.12056,0.12056,0.10556,0.10556,0.10556,0.10556,0.10556,0.14556,0.10556,0.14556
0.14056,0.10556,0.14056,0.14056,0.12556,0.12556,0.12556,0.14056,0.14056,0.14056,0.14056,0.14056,0.12556,0.14056,0.12056,0.13556,0.10556,0.10556,0.10556,0.14056,0.10556,0.14556,0.12556,0.14056
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.14056,0.14056,0.14056,0.14056,0.12556,0.14056,0.12056,0.13556,0.14556,0.10556,0.14056,0.14056,0.12556,0.14556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.12556,0.14056,0.14056,0.12556,0.12556,0.14056,0.15556,0.13556,0.14056,0.12556,0.14056,0.12556,0.14556,0.14556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.14056,0.12556,0.12556,0.14056,0.14056,0.13556,0.14556,0.12556,0.12556,0.12556,0.12556,0.14556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.12556,0.12556,0.12556,0.14056,0.14056,0.13556,0.12556,0.12556,0.14056,0.12556,0.12556,0.14556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.12556,0.12556,0.12556,0.14056,0.14056,0.13556,0.12556,0.12556,0.14056,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.14056,0.13556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.14056,0.13556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.14056,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.14056,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.14056,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.10556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10056
0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10056
0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.10556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10056
0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10056
0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10056,0.10056
0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10556,0.10056
0.12556,0.10556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10056
0.12556,0.10556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10056
0.12556,0.10556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.10556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10056
0.12556,0.10556,0.10556,0.10556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10556,0.10556,0.10056
0.12556,0.10556,0.10556,0.10556,0.10556,0.10556,0.12556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10556,0.10056
0.12556,0.10556,0.10556,0.10556,0.10556,0.10556,0.10556,0.10556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10556,0.10556,0.10056
0.12556,0.10556,0.10556,0.12556,0.10556,0.10556,0.10556,0.10556,0.12556,0.12556,0.10556,0.12556,0.10556,0.10556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10556,0.10056
0.12556,0.10556,0.10556,0.10056,0.10556,0.10556,0.10556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.10556,0.12556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10556,0.12556,0.10056
0.12556,0.10556,0.10556,0.10056,0.10556,0.10556,0.10556,0.10556,0.12556,0.12556,0.10556,0.12556,0.12556,0.10556,0.10556,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556,0.10056,0.10556,0.10056
